feature,gini_importance
Local_feature_53,0.05937691270627013
size,0.05614396836421551
Local_feature_41,0.05083124938753445
Local_feature_55,0.04109666112514653
Local_feature_47,0.03609688471763546
num_output_addresses,0.030994186782834623
Local_feature_43,0.030401662174159103
Local_feature_25,0.026259750093023167
Local_feature_23,0.02558152276955028
Local_feature_90,0.025316462240402012
Aggregate_feature_39,0.025285687520323473
Local_feature_49,0.02455391944220612
Local_feature_66,0.02383080029450305
Local_feature_5,0.022304294901860353
Local_feature_31,0.018503223948704395
Local_feature_60,0.018397554275667697
Local_feature_76,0.01773289466658183
Local_feature_29,0.015824543373775465
Local_feature_18,0.015423182172032026
Local_feature_65,0.014711583784348605
Local_feature_40,0.014158480237749474
Local_feature_58,0.012828877517103274
Aggregate_feature_63,0.012294519895232352
Local_feature_61,0.012280016656459922
Local_feature_52,0.012258091375733837
Local_feature_2,0.0107065319201206
Local_feature_14,0.01041639256672019
Local_feature_59,0.0091191009923534
Aggregate_feature_70,0.008880915931743744
Aggregate_feature_45,0.008665672796522866
Local_feature_64,0.008348961388022774
Local_feature_80,0.008209731256752194
Local_feature_4,0.008197983379160598
fees,0.008046931397658786
Local_feature_67,0.007678639300025272
Local_feature_85,0.007454646841237902
Local_feature_83,0.007045491983160217
Local_feature_22,0.006996095565727488
Aggregate_feature_49,0.006920732649103172
Local_feature_84,0.006705697237898711
Local_feature_89,0.006500817448517025
Local_feature_24,0.00645253616163203
Local_feature_81,0.006366580652001936
Local_feature_46,0.006239383832948817
Aggregate_feature_7,0.006139377151497423
Local_feature_77,0.006035105901529339
Local_feature_30,0.005871589447900621
Local_feature_28,0.005848476477791422
Local_feature_79,0.00575902797466458
Local_feature_16,0.005538125523551143
Aggregate_feature_8,0.005453724566495228
Local_feature_78,0.005280509311247292
Local_feature_54,0.0050539879678385405
out_BTC_min,0.004903426881764921
num_input_addresses,0.004731563282666228
Local_feature_8,0.004592464291481094
Aggregate_feature_51,0.004491418831856506
Local_feature_6,0.004459574914092943
Local_feature_48,0.004424331946419723
Local_feature_1,0.00419799073974683
Aggregate_feature_61,0.00413490801428445
Aggregate_feature_10,0.004050182185040753
Aggregate_feature_65,0.004003460755084181
in_BTC_min,0.003882490451077955
Aggregate_feature_43,0.003692207721528742
Aggregate_feature_68,0.003585369207284371
Aggregate_feature_32,0.0033909281706266787
Aggregate_feature_3,0.0033652709374455436
Local_feature_82,0.0029604398980085044
Aggregate_feature_21,0.0029361509303601307
Aggregate_feature_67,0.0027868585573535103
Aggregate_feature_9,0.0027187892057964637
Aggregate_feature_13,0.0025934926934401427
Aggregate_feature_46,0.0025714535301126318
Local_feature_3,0.002499820791259575
Aggregate_feature_47,0.0022994702168891916
Local_feature_42,0.0022146678707319427
Local_feature_17,0.002069505769632107
Aggregate_feature_37,0.0020010244587264094
Aggregate_feature_53,0.0019323911885931056
Aggregate_feature_66,0.0019323282000807281
Aggregate_feature_44,0.001903658266315391
Aggregate_feature_34,0.0018664470898885524
Aggregate_feature_16,0.001778301189622597
in_BTC_max,0.0017205251103133026
in_BTC_total,0.0016356674174597965
in_BTC_median,0.0016041895371000398
Local_feature_11,0.0015997791015623266
Local_feature_91,0.0015458464292328453
Aggregate_feature_15,0.0015246225662574114
Local_feature_10,0.0014877621159478203
total_BTC,0.001442152394049218
